IL_CODE11,IL_NAME11,IA_CODE11,IA_NAME11,IR_CODE11,IR_NAME11,STE_CODE11,STE_NAME11,AREA_SQKM,Indigenousno,Nonindigenousno
40200105,Kaltjiti (Fregon) and Irintata Homelands,402001,Anangu Pitjantjatjara,402,Port Augusta,4,South Australia,"4,618.8109",78,95
40200106,Kanpi - Nyapari - Angatja,402001,Anangu Pitjantjatjara,402,Port Augusta,4,South Australia,"2,711.22089",78,95
40200107,Mimili and Mimili Homelands,402001,Anangu Pitjantjatjara,402,Port Augusta,4,South Australia,"6,302.76351",78,95
40200108,Pipalyatjara,402001,Anangu Pitjantjatjara,402,Port Augusta,4,South Australia,10.13984,78,95
40200109,Pukatja (Ernabella),402001,Anangu Pitjantjatjara,402,Port Augusta,4,South Australia,8.47781,78,95
40200110,Watarru and Outstations,402001,Anangu Pitjantjatjara,402,Port Augusta,4,South Australia,"49,436.42783",78,95
70200301,Anmatjere - Surrounds,702003,Anmatjere,702,Apatula,7,Northern Territory,"49,605.78473",257,42
70200302,Anmatjere - Ti Tree,702003,Anmatjere,702,Apatula,7,Northern Territory,64.73283,257,42
70200303,Laramba,702003,Anmatjere,702,Apatula,7,Northern Territory,5.08056,257,42
70200304,Nturiya,702003,Anmatjere,702,Apatula,7,Northern Territory,0.1869,257,42
70200305,Pmara Jutunta,702003,Anmatjere,702,Apatula,7,Northern Territory,1.76642,257,42
70200306,Wilora,702003,Anmatjere,702,Apatula,7,Northern Territory,2.66698,257,42
70300201,Anula,703002,Anula - Wulagi,703,Darwin,7,Northern Territory,1.31783,264,"1,918"
70300202,Wulagi,703002,Anula - Wulagi,703,Darwin,7,Northern Territory,1.26301,264,"1,918"
50500101,Armadale - Central,505001,Armadale,505,Perth,5,Western Australia,8.21178,"1,429","46,093"
50500102,Armadale - Surrounds,505001,Armadale,505,Perth,5,Western Australia,529.51726,"1,429","46,093"
50500103,Kelmscott,505001,Armadale,505,Perth,5,Western Australia,15.00593,"1,429","46,093"
50500104,Seville Grove,505001,Armadale,505,Perth,5,Western Australia,4.56602,"1,429","46,093"
50500105,Westfield,505001,Armadale,505,Perth,5,Western Australia,2.61495,"1,429","46,093"
30200101,Atherton,302001,Atherton,302,Cairns - Atherton,3,Queensland,621.92258,611,"9,692"
10700101,Auburn,107001,Auburn,107,Sydney - Wollongong,1,New South Wales,32.47692,442,"58,606"
30300101,Aurukun,303001,Aurukun,303,Cape York,3,Queensland,"7,347.20771",955,64
50700201,Avon - Surrounds,507002,Avon,507,South-Western WA,5,Western Australia,"31,267.43615",782,"18,714"
50700202,Beverley,507002,Avon,507,South-Western WA,5,Western Australia,6.81456,782,"18,714"
50700203,Kellerberrin,507002,Avon,507,South-Western WA,5,Western Australia,"1,918.18824",782,"18,714"
50700204,Quairading,507002,Avon,507,South-Western WA,5,Western Australia,2.49653,782,"18,714"
50700205,York,507002,Avon,507,South-Western WA,5,Western Australia,17.41402,782,"18,714"
20200101,Ballarat,202001,Ballarat,202,Victoria exc. Melbourne,2,Victoria,"1,200.40978",852,"80,477"
10400101,Bagotville,104001,Ballina - Bagotville,104,NSW Central and North Coast,1,New South Wales,80.24874,390,"20,810"
10400101,Bagotville,104001,Ballina - Bagotville,104,NSW Central and North Coast,1,New South Wales,80.24874,515,"14,893"
10400102,Ballina,104001,Ballina - Bagotville,104,NSW Central and North Coast,1,New South Wales,25.34963,390,"20,810"
10400102,Ballina,104001,Ballina - Bagotville,104,NSW Central and North Coast,1,New South Wales,25.34963,515,"14,893"
10400103,Ballina - Surrounds,104001,Ballina - Bagotville,104,NSW Central and North Coast,1,New South Wales,374.70272,390,"20,810"
10400103,Ballina - Surrounds,104001,Ballina - Bagotville,104,NSW Central and North Coast,1,New South Wales,374.70272,515,"14,893"
30600101,Balonne exc. St George and Dirranbandi,306001,Balonne,306,Toowoomba - Roma,3,Queensland,"31,082.22304",91,"1,594"
30600102,Dirranbandi,306001,Balonne,306,Toowoomba - Roma,3,Queensland,8.96038,91,"1,594"
30600103,St George,306001,Balonne,306,Toowoomba - Roma,3,Queensland,15.00026,91,"1,594"
10500201,Balranald,105002,Balranald - Wentworth,105,Riverina - Orange,1,New South Wales,3.4312,321,"6,580"
10500202,Balranald - Wentworth - Surrounds,105002,Balranald - Wentworth,105,Riverina - Orange,1,New South Wales,"49,741.80815",321,"6,580"
10500203,Coomealla,105002,Balranald - Wentworth,105,Riverina - Orange,1,New South Wales,0.88449,321,"6,580"
10500204,Dareton,105002,Balranald - Wentworth,105,Riverina - Orange,1,New South Wales,2.3932,321,"6,580"
10500205,Wentworth,105002,Balranald - Wentworth,105,Riverina - Orange,1,New South Wales,4.60833,321,"6,580"
30500101,Banana - North,305001,Banana,305,Rockhampton,3,Queensland,"14,728.60353",430,"12,262"
30500102,Banana - South,305001,Banana,305,Rockhampton,3,Queensland,"13,802.9882",430,"12,262"
30500103,Biloela,305001,Banana,305,Rockhampton,3,Queensland,14.73981,430,"12,262"
50500201,Bassendean,505002,Bassendean,505,Perth,5,Western Australia,10.3445,377,"12,475"
10700201,Baulkham Hills,107002,Baulkham Hills,107,Sydney - Wollongong,1,New South Wales,400.44951,429,"153,605"
20200201,Baw Baw,202002,Baw Baw,202,Victoria exc. Melbourne,2,Victoria,"3,999.69323",349,"35,377"
50500301,Bayswater - North,505003,Bayswater,505,Perth,5,Western Australia,15.05979,677,"51,733"
50500302,Bayswater - South,505003,Bayswater,505,Perth,5,Western Australia,17.41699,677,"51,733"
30100101,Beaudesert - Boonah,301001,Beaudesert - Boonah,301,Brisbane,3,Queensland,"4,248.07336","1,263","66,264"
10600101,Bega,106001,Bega Valley,106,South-Eastern NSW,1,New South Wales,13.23574,248,"3,667"
10600101,Bega,106001,Bega Valley,106,South-Eastern NSW,1,New South Wales,13.23574,364,"22,684"
10600102,Bega - Surrounds,106001,Bega Valley,106,South-Eastern NSW,1,New South Wales,"7,921.14322",248,"3,667"
10600102,Bega - Surrounds,106001,Bega Valley,106,South-Eastern NSW,1,New South Wales,"7,921.14322",364,"22,684"
10600103,Eden,106001,Bega Valley,106,South-Eastern NSW,1,New South Wales,8.16114,248,"3,667"
10600103,Eden,106001,Bega Valley,106,South-Eastern NSW,1,New South Wales,8.16114,364,"22,684"
